,Season,Episode,Series,EpisodeName,Rating,Votes,Year
0,1,0,Heroes,Unaired Premiere Episode,8.4,612,2006
1,1,1,Heroes,Chapter One 'Genesis',8.4,2412,2006
2,1,2,Heroes,Chapter Two 'Don't Look Back',8.3,1768,2006
3,1,3,Heroes,Chapter Three 'One Giant Leap',8.3,1612,2006
4,1,4,Heroes,Chapter Four 'Collision',8.3,1550,2006
5,1,5,Heroes,Chapter Five 'Hiros',8.4,1505,2006
6,1,6,Heroes,Chapter Six 'Better Halves',8.0,1422,2006
7,1,7,Heroes,Chapter Seven 'Nothing to Hide',8.0,1392,2006
8,1,8,Heroes,Chapter Eight 'Seven Minutes to Midnight',8.1,1412,2006
9,1,9,Heroes,Chapter Nine 'Homecoming',8.8,1574,2006
10,1,10,Heroes,Chapter Ten 'Six Months Ago',8.5,1471,2006
11,1,11,Heroes,Chapter Eleven 'Fallout',8.6,1424,2006
12,1,12,Heroes,Chapter Twelve 'Godsend',8.2,1379,2007
13,1,13,Heroes,Chapter Thirteen 'The Fix',8.1,1337,2007
14,1,14,Heroes,Chapter Fourteen 'Distractions',8.4,1360,2007
15,1,15,Heroes,Chapter Fifteen 'Run!',8.2,1354,2007
16,1,16,Heroes,Chapter Sixteen 'Unexpected',8.6,1412,2007
17,1,17,Heroes,Chapter Seventeen 'Company Man',9.1,1961,2007
18,1,18,Heroes,Chapter Eighteen 'Parasite',8.8,1596,2007
19,1,19,Heroes,Chapter Nineteen '.07%',8.6,1493,2007
20,1,20,Heroes,Chapter Twenty 'Five Years Gone',9.2,2258,2007
21,1,21,Heroes,Chapter Twenty-One 'The Hard Part',8.4,1427,2007
22,1,22,Heroes,Chapter Twenty-Two 'Landslide',8.7,1433,2007
23,1,23,Heroes,Chapter Twenty-Three 'How to Stop an Exploding Man',8.6,2225,2007
24,2,1,Heroes,Chapter One 'Four Months Later...',8.0,1712,2007
25,2,2,Heroes,Chapter Two 'Lizards',7.8,1233,2007
26,2,3,Heroes,Chapter Three 'Kindred',7.7,1200,2007
27,2,4,Heroes,Chapter Four 'The Kindness of Strangers',7.7,1068,2007
28,2,5,Heroes,Chapter Five 'Fight or Flight',7.8,1104,2007
29,2,6,Heroes,Chapter Six 'The Line',7.5,1027,2007
30,2,7,Heroes,Chapter Seven 'Out of Time',8.1,1078,2007
31,2,8,Heroes,Chapter Eight 'Four Months Ago...',8.1,1124,2007
32,2,9,Heroes,Chapter Nine: Cautionary Tales,8.3,1122,2007
33,2,10,Heroes,Chapter Ten 'Truth & Consequences',7.8,1027,2007
34,2,11,Heroes,Chapter Eleven 'Powerless',8.0,1207,2007
35,3,1,Heroes,Chapter One 'The Second Coming',7.9,1480,2008
36,3,2,Heroes,Chapter Two 'The Butterfly Effect',7.7,1141,2008
37,3,3,Heroes,"Chapter Three 'One of Us, One of Them'",7.7,1048,2008
38,3,4,Heroes,Chapter Four 'I Am Become Death',7.7,1059,2008
39,3,5,Heroes,Chapter Five 'Angels and Monsters',7.5,986,2008
40,3,6,Heroes,Chapter Six 'Dying of the Light',7.6,985,2008
41,3,7,Heroes,Chapter Seven 'Eris Quod Sum',7.5,888,2008
42,3,8,Heroes,Chapter Eight 'Villains',7.8,972,2008
43,3,9,Heroes,Chapter Nine 'It's Coming',7.6,892,2008
44,3,10,Heroes,Chapter Ten 'The Eclipse Part 1',7.6,888,2008
45,3,11,Heroes,Chapter Eleven 'The Eclipse - Part 2',7.6,887,2008
46,3,12,Heroes,Chapter Twelve 'Our Father',8.1,956,2008
47,3,13,Heroes,Chapter Thirteen 'Dual',7.7,978,2008
48,3,14,Heroes,Chapter One 'A Clear and Present Danger',7.9,948,2009
49,3,15,Heroes,Chapter Two 'Trust and Blood',7.6,859,2009
50,3,16,Heroes,Chapter Three 'Building 26',7.3,814,2009
51,3,17,Heroes,Chapter Four 'Cold Wars',7.2,778,2009
52,3,18,Heroes,Chapter Five 'Exposed',7.4,800,2009
53,3,19,Heroes,Chapter Six 'Shades of Gray',7.6,807,2009
54,3,20,Heroes,Chapter Seven 'Cold Snap',8.1,932,2009
55,3,21,Heroes,Chapter Eight 'Into Asylum',7.5,809,2009
56,3,22,Heroes,Chapter Nine 'Turn and Face the Strange',7.6,763,2009
57,3,23,Heroes,Chapter Ten '1961',7.3,866,2009
58,3,24,Heroes,Chapter Eleven 'I Am Sylar',7.7,690,2009
59,3,25,Heroes,Chapter Twelve 'An Invisible Thread',7.7,911,2009
60,4,1,Heroes,Chapter One 'Orientation',7.7,806,2009
61,4,2,Heroes,"Chapter One 'Jump, Push, Fall'",7.6,702,2009
62,4,3,Heroes,Chapter Two 'Ink',7.5,685,2009
63,4,4,Heroes,Chapter Three 'Acceptance',7.3,653,2009
64,4,5,Heroes,Chapter Four 'Hysterical Blindness',7.6,670,2009
65,4,6,Heroes,Chapter Five 'Tabula Rasa',7.6,649,2009
66,4,7,Heroes,Chapter Six 'Strange Attractors',7.3,639,2009
67,4,8,Heroes,Chapter Seven 'Once Upon a Time in Texas',7.8,686,2009
68,4,9,Heroes,Chapter Eight 'Shadowboxing',7.7,625,2009
69,4,10,Heroes,Chapter Nine 'Brother's Keeper',7.5,606,2009
70,4,11,Heroes,Chapter Ten 'Thanksgiving',7.4,605,2009
71,4,12,Heroes,Chapter Eleven 'The Fifth Stage',7.4,631,2009
72,4,13,Heroes,Chapter Twelve 'Upon This Rock',7.1,590,2010
73,4,14,Heroes,Chapter Thirteen 'Let It Bleed',7.0,611,2010
74,4,15,Heroes,Chapter Fourteen 'Close to You',7.2,604,2010
75,4,16,Heroes,Chapter Fifteen 'Pass/Fail',6.9,656,2010
76,4,17,Heroes,Chapter Sixteen 'The Art of Deception',7.5,602,2010
77,4,18,Heroes,Chapter Seventeen 'The Wall',7.7,629,2010
78,4,19,Heroes,Chapter Eighteen 'Brave New World',7.8,925,2010
